TIMESTAMP,CPU,MEM,LOAD,TCP_PORT_STATUS,TCP_TIME_WAITS,TPS,TOTAL_TCP,NETWORK_LATENCY,RESPONSE_TIME,THREAD_COUNT,RESTART
2025-03-01 00:00:00,99.75118454651755,10.641519406810085,3.3864921270060764,11338,13329,1327,24667,143.35671054716838,240.54277637091946,288,Restart
2025-03-01 00:00:00,10.75118454651755,10.641519406810085,3.3864921270060764,11338,13329,1327,24667,143.35671054716838,240.54277637091946,288,Restart
2025-03-01 00:00:00,14.75118454651755,10.641519406810085,3.3864921270060764,11338,13329,1327,24667,143.35671054716838,240.54277637091946,288,Healthy
2025-03-01 00:01:00,39.26937024291286,36.35263065591248,3.491650267596475,15323,1770,930,17093,62.63306847196433,269.12140327184136,39,Healthy
2025-03-01 00:02:00,28.874892792773636,60.595722569305856,2.6551365711306882,38693,28115,1563,66808,142.910683518265,263.034890963619,180,Healthy
2025-03-01 00:03:00,22.12498990047542,39.37525577458284,2.2052223030227784,24634,27038,1734,51672,123.74584469982008,291.2207485409633,30,Healthy
2025-03-01 00:04:00,67.15852784805168,28.68252652979927,1.8835005422311963,27292,4854,801,32146,72.67661799397142,195.34622383412778,210,Healthy
2025-03-01 00:05:00,36.63929286052182,62.30786626147976,2.3888133887187064,39551,4118,1609,43669,101.42990068979377,277.16389033508995,144,Healthy
2025-03-01 00:06:00,20.482515522927137,19.35284185178834,3.029180944952377,46111,19516,1776,65627,65.81264269639898,252.1283183151027,281,Healthy
2025-03-01 00:07:00,21.919039160868348,22.386713944972023,1.5559557262693455,10917,10901,1032,21818,84.2497878236703,273.6669060785034,32,Healthy
2025-03-01 00:08:00,26.842584547875642,51.242342016168,1.7368130049313273,11145,24609,1268,35754,9.648904215757067,52.90665032134166,96,Healthy
2025-03-01 00:09:00,69.95897609138277,31.1461564915945,1.9934962276764152,30717,18374,943,49091,104.74325781977943,291.47574796645273,40,Healthy
2025-03-01 00:10:00,26.08069003117584,52.78101014402674,2.970929405619615,40491,18094,1556,58585,8.870872028136368,168.38254071161958,130,Healthy
2025-03-01 00:11:00,29.728108274707218,19.462217275569515,4.090473517478337,17905,21688,759,39593,122.74565709102778,249.5457473937107,78,Healthy
2025-03-01 00:12:00,49.55968767904009,25.136145376050756,5.20880382657458,31273,22751,1757,54024,123.91709248962306,81.80102983444522,143,Healthy
2025-03-01 00:13:00,27.6376825846179,19.398842701818012,2.0792251045292884,27234,14522,1238,41756,36.32451584587598,148.9852739534935,155,Healthy
2025-03-01 00:14:00,22.948255063581602,67.17461881381058,1.5105058718779056,14349,1038,1295,15387,49.22575437433424,117.86516575524773,272,Healthy
2025-03-01 00:15:00,19.518231198975922,34.32423765105545,2.5836610566780522,2002,18659,569,20661,72.7152464051857,122.91469262523425,95,Healthy
2025-03-01 00:16:00,28.76095990166753,30.233194594613558,5.419106920045206,40034,17002,1482,57036,89.90277313293974,80.81390498772043,25,Healthy
2025-03-01 00:17:00,16.354941377726412,10.852129370245882,0.5542340058542671,33573,24453,980,58026,43.815695599557515,251.44095813575174,225,Healthy
2025-03-01 00:18:00,11.118795184886974,19.205054764653244,4.2282773883176,28803,5857,1667,34660,89.28047429015683,52.31057864526954,125,Healthy
2025-03-01 00:19:00,58.27850184008064,35.26815137454997,3.124380255263698,12330,17312,523,29642,45.37027391116553,128.12636424630062,127,Healthy
2025-03-01 00:20:00,18.273696544874593,14.110167554313644,1.3857541822837403,27504,2436,1464,29940,9.26811743958804,93.60263580410376,279,Healthy
2025-03-01 00:21:00,56.55861098891454,40.644359770373015,2.2656183945095667,15980,28569,1245,44549,1.3766049249544334,197.2597351520851,171,Healthy
2025-03-01 00:22:00,57.852548739199584,37.30092630786687,1.7372252413236864,8017,27045,1344,35062,16.07150762984586,113.56310065363596,197,Healthy
2025-03-01 00:23:00,42.275171579754584,56.030088420661116,5.328076923395673,42353,19483,1698,61836,119.04535432443872,114.74961363202492,113,Healthy
2025-03-01 00:24:00,28.580917498777087,49.588162084019,3.1503036116974465,17011,25949,824,42960,144.25326554511724,172.08453599882967,150,Healthy
2025-03-01 00:25:00,18.70196402499331,36.75683831923443,3.5970185282987104,19001,8693,1297,27694,64.61796369290167,213.17225983523142,176,Healthy
2025-03-01 00:26:00,54.20830640325995,23.47964200630429,3.7652819063536134,18044,14218,517,32262,77.38990906404148,80.3261761412909,37,Healthy
2025-03-01 00:27:00,46.083219158907156,53.61181396106838,4.017894185312958,39292,5251,543,44543,22.880377191940493,93.87786311637404,281,Healthy
2025-03-01 00:28:00,49.32720738961385,52.47172620725225,3.2255562970676146,6250,21409,654,27659,83.10367154934339,111.7936861486294,59,Healthy
2025-03-01 00:29:00,10.520145390707862,19.197769630923247,0.598304419599737,41280,10305,1366,51585,22.55358039903955,293.43705352949013,165,Healthy
2025-03-01 00:30:00,65.65102094246947,64.88510988552417,2.3409747780305854,24289,28302,1421,52591,92.07093534862568,149.2881249857301,130,Healthy
2025-03-01 00:31:00,13.977411246793014,13.86430696090259,1.5113028239654516,34087,11590,1242,45677,140.05554146954722,199.74752265775663,149,Healthy
2025-03-01 00:32:00,32.00835310840034,13.302262533562972,4.240785636014223,11416,23596,724,35012,30.1590823561529,110.38570317899448,25,Healthy
